,Bangladesh,D.R.Congo ,Dominican Republic,Jordan,Lesotho,Malawi,Mongolia,Morocco,Nigeria,Peru,Philippines,Senegal,Sierra Leone,South Africa,Suriname,Togo,Zimbabwe
BAM-1,1.22E+11,2.37E+10,5.59E+10,2.83E+10,2.41E+09,7.48E+09,8.80E+09,9.73E+10,3.83E+11,1.60E+11,2.21E+11,1.70E+10,2.76E+09,3.96E+11,4.40E+09,3.65E+09,1.31E+10
BAM-2,1.42E+11,3.10E+10,6.17E+10,3.30E+10,2.42E+09,5.77E+09,1.24E+10,1.03E+11,4.82E+11,1.97E+11,2.73E+11,1.83E+10,4.36E+09,3.82E+11,5.06E+09,4.10E+09,1.81E+10
BAM-3,1.84E+11,3.69E+10,6.92E+10,3.77E+10,2.40E+09,6.21E+09,1.20E+10,1.06E+11,5.17E+11,1.95E+11,3.02E+11,1.88E+10,4.62E+09,3.34E+11,5.18E+09,4.38E+09,1.97E+10
BAM-4,2.14E+10,3.42E+09,7.08E+09,3.70E+09,2.01E+08,6.46E+08,1.03E+09,9.68E+09,3.55E+10,1.83E+10,2.94E+10,1.82E+09,3.37E+08,2.94E+10,3.14E+08,5.65E+08,1.80E+09
BAM-5,2.88E+11,4.86E+10,8.72E+10,4.37E+10,2.44E+09,1.03E+10,1.36E+10,1.19E+11,4.23E+11,2.26E+11,3.62E+11,2.32E+10,4.10E+09,3.60E+11,4.11E+09,7.17E+09,1.82E+10
BAM-6,2.88E+11,4.81E+10,8.67E+10,4.32E+10,1.94E+09,9.79E+09,1.31E+10,1.18E+11,4.22E+11,2.25E+11,3.61E+11,2.27E+10,3.60E+09,3.59E+11,3.61E+09,6.67E+09,1.77E+10
