,Bangladesh,D.R.Congo,Dominican Republic,Jordan,Lesotho,Malawi,Mongolia,Morocco,Nigeria,Peru,Philippines,Senegal,Sierra Leone,South Africa,Suriname,Togo,Zimbabwe
BAM-1,3.545,4.1,5.65,12.7,26.425,5.935,5.66,9,3.77,3.285,3.6,10.35,4.225,24.66,7.345,2.185,5.295
BAM-2,4.245,4.49,7.035,12.4,24.94,5.945,4.07,9.11,3.72,3.075,3.5,8.975,4.515,24.645,7.35,2.085,5.38
BAM-3,4.385,4.42,7.165,12.49,24.435,5.87,4.83,9.58,4.435,2.885,3.335,7.185,4.66,25.02,7.08,2.18,5.31
BAM-4,4.36,4.305,6.555,15.53,24.215,5.745,6.8,9.245,7.725,3.365,2.62,6.655,4.545,26.79,7.125,3.345,5.195
BAM-5,4.255,4.155,6.11,16.57,23.92,5.59,5.345,9.045,8.49,3.105,2.29,6.5,4.39,27.69,6.97,3.63,5.045
BAM-6,5.3,4.55,8.9,18.5,24.65,5.99,4.33,10.15,9.01,6.24,3.36,7.1,4.6,28.74,8.65,4.05,5.73
