,Bangladesh,D.R.Congo,Dominican Republic,Jordan,Lesotho,Malawi,Mongolia,Morocco,Nigeria,Peru,Philippines,Senegal,Sierra Leone,South Africa,Suriname,Togo,Zimbabwe
BAM-1,148424283.5,65659502,9754168,7462199.5,1999684,14750863.5,2745129.5,32562622,160654141.5,29145997,94768416.5,12855978.5,6489437,51610363,532151.5,6508806.5,12796025.5
BAM-2,151883573,70189776.5,9989571,8304477.5,2021758,15617648.5,2853240.5,33478801.5,169497311,29640388,98042098.5,13592209.5,6788280.5,53259892,544271,6864264,13232763.5
BAM-3,155386836,75005988.5,10223428.5,9092697.5,2051229.5,16517427.5,2969272,34427983,178771192.5,30280555.5,101313171.5,14376595,7094531,54965276.5,556207,7230579.5,13700676
BAM-4,158831286,80093947.5,10455424.5,9670063,2083286.5,17437723,3085073,35353765.5,188416745.5,31185167.5,104418366.5,15206434,7408636.5,56608700,567692,7604214,14133468.5
BAM-5,162211443,85429330,10683052,10033509.5,2116797,18385982,3197690,36250427.5,198419144,32249863.5,107384008,16075343,7731678,58175393.5,578675,7985727,14542142.5
