,Bangladesh,D.R.Congo,Dominican Republic,Jordan,Lesotho,Malawi,Mongolia,Morocco,Nigeria,Peru,Philippines,Senegal,Sierra Leone,South Africa,Suriname,Togo,Zimbabwe
BAM-1,20.882,44.702,21.288,28.213,28.9195,39.8375,24.9915,21.212,41.183,20.365,24.813,38.1915,38.2735,23.201,20.364,36.94,36.495
BAM-2,20.0535,43.9785,20.865,26.6035,28.4385,37.971,25.901,21.0515,40.4675,19.401,23.841,37.5545,36.724,22.649,19.892,35.8495,36.03
BAM-3,19.3285,43.0585,20.4335,24.744,27.9335,36.234,25.951,20.497,39.5935,18.6855,22.604,36.5925,35.366,21.916,19.4145,34.771,34.4795
BAM-4,18.6625,42.005,19.9345,23.009,27.3355,34.878,25.129,19.6335,38.6285,18.2285,21.3295,35.4235,34.211,21.111,18.9165,33.783,32.298
BAM-5,18.026,40.911,19.3495,21.728,26.6115,33.924,23.746,18.7185,37.6755,17.8525,20.356,34.2375,33.1425,20.3195,18.4185,32.91,30.2115
BAM-6,17.426,40.311,18.7495,21.128,26.0115,33.324,23.146,18.1185,37.0755,17.2525,19.756,33.6375,32.5425,19.7195,17.8185,32.31,29.6115
