,Bangladesh,D.R.Congo,Dominican Republic,Jordan,Lesotho,Malawi,Mongolia,Morocco,Nigeria,Peru,Philippines,Senegal,Sierra Leone,South Africa,Suriname,Togo,Zimbabwe
BAM-1,22.78334262,504.7037281,18.4516362,0.2856862288,3.943869317,74.6308259,503.3319903,3.723673681,76.01753262,1.509249997,17.93831392,239.2217428,1515.053839,4.677014871,1.769243621,229.769459,0.5191575623
BAM-2,24.37677479,571.0806274,20.53829575,0.3050805926,4.383219004,104.436245,604.1699829,3.77180922,88.54361725,1.607732654,18.24742508,246.4058609,1764.308777,5.201777458,1.88436389,239.2752533,0.5538351536
BAM-3,26.55130386,519.3065796,21.25498962,0.3159359097,4.687410116,166.4092941,700.4198608,4.015154004,94.80721283,1.67997241,18.93851089,243.1067734,1845.282715,5.698573589,1.815499008,239.8933029,0.5442780256
BAM-4,29.11850262,569.7586365,21.21608448,0.3070850372,5.258696795,236.135788,760.3294067,4.008738637,110.6758728,1.746359289,19.16680813,245.7221909,2110.169312,6.292897224,2.503361106,241.6374054,0.5165524781
BAM-5,31.06923191,824.4983626,22.05635194,0.2981393463,5.933571134,267.8188805,869.1587976,3.963185957,130.1170197,1.748884576,19.5336507,239.0704332,2569.194628,6.593455093,2.694808069,236.9485697,2.182945684
BAM-6,32.6226935,865.7232808,23.15916954,0.3130463136,6.230249691,281.2098245,912.6167375,4.161345255,136.6228707,1.836328804,20.51033323,251.0239549,2697.65436,6.923127848,2.829548473,248.7959981,2.292092969
