,Bangladesh,D.R.Congo,Dominican Republic,Jordan,Lesotho,Malawi,Mongolia,Morocco,Nigeria,Peru,Philippines,Senegal,Sierra Leone,South Africa,Suriname,Togo,Zimbabwe
BAM-1,821.4578699,360.5520274,5734.409331,3794.767744,1203.556589,506.8098693,3200.426249,2943.436987,2384.017677,5475.838794,2334.103924,1319.178891,425.0862691,7668.045819,8259.539338,560.5711377,1020.992445
BAM-2,932.4889905,441.2820607,6174.249471,3977.386881,1198.273994,369.9957894,4358.988999,3017.169178,2842.685806,6642.862386,2782.867405,1345.222791,641.607031,7167.193321,9301.569603,596.6027888,1367.483236
BAM-3,1183.663559,492.0520671,6765.173048,4147.77806,1170.320157,375.9332547,4038.554243,3023.478589,2893.232924,6450.989023,2980.344308,1307.953377,651.4643293,6084.016912,9320.079579,605.9220934,1439.98299
BAM-4,1482.666227,469.1965271,7445.118443,4203.437441,1060.937752,406.5441984,3664.779439,2966.088314,2072.284085,6457.75203,3098.450164,1315.802633,500.39807,5702.011549,6084.174995,816.948585,1400.127011
BAM-5,1776.911795,568.8906361,8166.380603,4356.819092,1152.92823,559.2307746,4237.411999,3228.696258,2128.8186,6992.702809,3368.725559,1444.108676,530.7628539,6187.003388,7099.626296,897.4377355,1254.158758
BAM-6,1926.911795,718.8906361,8316.380603,4506.819092,1302.92823,709.2307746,4387.411999,3378.696258,2278.8186,7142.702809,3518.725559,1594.108676,680.7628539,6337.003388,7249.626296,1047.437736,1404.158758
