,Bangladesh,D.R.Congo,Dominican Republic,Jordan,Lesotho,Malawi,Mongolia,Morocco,Nigeria,Peru,Philippines,Senegal,Sierra Leone,South Africa,Suriname,Togo,Zimbabwe
BAM-1,9.760920773,11.20825796,6.063350147,4.503980194,4.249078194,7.517206779,9.228710771,0.9502411555,12.28011469,2.448815775,4.254126698,2.315954747,6.990865287,4.540348353,12.32643093,2.504729952,3.244399877
BAM-2,6.873955315,5.265025582,4.262724023,4.669926355,5.458277808,24.27729917,12.4104958,1.583888534,10.34680451,3.231212789,2.804825786,1.064237099,6.053315493,5.750173899,3.465149617,2.20128825,2.680138538
BAM-3,6.592959561,0.9936189462,1.917694304,1.011313845,4.294367373,22.82970625,8.99042653,1.000108584,8.535936504,3.397125546,2.136007988,-0.4775215704,5.669570663,5.322614215,5.13865816,1.387390173,-1.314376617
BAM-4,5.607797942,1.442925536,2.44686151,1.272732006,5.52210214,16.62725357,2.526531633,1.194987196,16.09944027,3.197476206,2.053443263,1.077719046,14.55154753,5.887843324,38.7046655,0.1524785564,-0.3248536422
BAM-5,5.567808897,2.164388305,2.687519015,2.611912566,4.969443304,10.89550708,7.058625958,1.053651374,11.74576326,1.727400543,3.845941597,1.109775409,15.41792421,4.314464109,58.05699825,0.8070340472,5.309432933
BAM-6,5.679165075,2.207676071,2.741269396,2.664150817,5.06883217,11.11341722,7.199798478,1.074724401,11.98067852,1.761948553,3.922860428,1.131970917,15.7262827,4.400753391,59.21813821,0.8231747282,5.415621592
