,Bangladesh,D.R.Congo,Dominican Republic,Jordan,Lesotho,Malawi,Mongolia,Morocco,Nigeria,Peru,Philippines,Senegal,Sierra Leone,South Africa,Suriname,Togo,Zimbabwe
BAM-1,5.7035,11.43,6.0345,3.825,18.997,10.346,6.515,5.212,14.106,5.299,5.6485,7.159,14.9235,11.784,7.018,10.0005,13.0315
BAM-2,5.607,10.837,6.053,3.807,17.5565,8.7715,6.3595,5.172,13.465,5.3055,5.7365,6.6375,13.7455,10.674,7.055,9.379,10.641
BAM-3,5.557,10.294,6.0745,3.8095,16.0915,7.6395,6.2895,5.13,12.84,5.336,5.789,6.23,12.8275,9.9065,7.139,8.9305,8.975
BAM-4,5.536,9.805,6.1085,3.8345,14.9065,6.9425,6.2925,5.0825,12.252,5.412,5.827,5.915,12.1485,9.5485,7.248,8.6315,8.165
BAM-5,5.5275,9.387,6.169,3.8765,14.086,6.5075,6.3255,5.0585,11.745,5.541,5.8965,5.656,11.6285,9.4165,7.364,8.385,7.828
BAM-6,5.5245,9.384,6.166,3.8735,14.083,6.5045,6.3225,5.0555,11.742,5.538,5.8935,5.653,11.6255,9.4135,7.361,8.382,7.825
